,character,line
38728,Bonnie, (leans on the cart) I didn't. Fill. It. In.
38729,Damon, No. You don't know you filled it in. You also don't know that you talk in your sleep. Eggs.
38730,Bonnie, (opens the fridge beside them and grabs the eggs) What are you saying? Are you saying I sleep crossword?
38731,Damon," (takes the glasses off) I'm saying it makes more sense than the alternative. (He snatches the eggs and slams them in the cart, Bonnie takes off her glasses. )"
38732,Bonnie, I get what you're doing.
38733,Damon, What am I doing?
38734,Bonnie, You refuse to have hope that you'll see Elena again so you don't have to be disappointed.
38735,Damon (loudly), I refuse to have hope because there's nothing to hope for.
38736,Bonnie," (stops suddenly, pausing) Pork rinds."
38737,(Damon digs into the car and looks at the shopping index.), 
38738,Damon, Not on the list and eww.
38739,Bonnie," No, day -mon -a, (she emphasizes his name.): There were pork rinds on this shelf, There have been pork rinds here on every shopping trip we've had for the past 4 months."
38740,Bonnie, You hear that?
38741,Bonnie (satisfactory)," Hmm, you hear that, Damon? (She sounds like she's proved her point and Damon still looks bewildered.): That's what hope sounds like."
38742,Stefan, This hospital thing..Its a whole new look huh??
38743,Elena, Yeahh..Apparantly this color( pointing to her t -shirt) disguises all bodily fluids that i get covered in throughout the day. So far its been only observation but i don't know..i love it there. Seeing sick people getting better..it's inspiring.
38744,Stefan, You seem different. Seem happier.
38745,Elena, And you? Are you happy?(Pauses) Caroline told me a little bit.
38746,Stefan, Ohh..About the dinner party from Hell.
38747,Elena, (laughing) Her exact words actually. In between the ranting she may have mentioned something about your new job and a new girlfriend (questioningly) Ivy right?? Is it Ivy? (Stefan looks down uncomfortably) Stefan it's fine.Seriously. It's not weird i promise. I'm just happy to finally see you again you know. ( Stefan nods understanding) It's been really rough. Losing Bonnie the last couple of months. ( She stops suddenly realising something) Which is an incredibly insensitive thing to say to somebody who just lost their brother.I'm..I'm sorry.
38748,Stefan," No i've been working on the healing thing too. I guess. Hey, by the way, have you heard from Caroline? She's not returning any of my calls and i..i really wanna apologize for the way i acted."
38749,Elena, Ohh she'll be there at the swimming hole today. You should come.
38750,Stefan, No..no I'm not sure i'm ready to dive back into all that. No pun intended. (Elena smiles)
38751,Elena, Stefan they're your friends too. C'mon. I know that we can't hang out at the Grill anymore. But that does'nt mean we can't all spend time together. C'mon please. If not for that then atleast to convince Caroline that Enzo is not new best friend replacement material.
38752,Stefan, Will Enzo be there?
38753,Elena, Yeah..but i can easily uninvite him. I'd rather you come. (Stefan cuts in)
38754,Stefan, No.No. Don't worry about it. (Thinks for a moment) Yeah. Maybe i'll stop by.
38755,Elena, Great.
38756,Caroline, Do you understand the rules?
38757,Enzo," Yea Rule 1, don't mention Elena was madly in love with Damon or you'll k*ll me."
38758,Caroline, (Nodding) Mmhmm.
38759,Enzo," Rule 2, don't really reference Damon at all or you'll k*ll me."
38760,Caroline, Yup.
38761,Enzo," Rule 3, wear sunscreen and ( Caroline cuts in)"
38762,Caroline," Don't make fun of me. ( Enzo smiles a bit) It's important that we let Elena live her new, happy, problem ignoring, zombie life the way she wants."
38763,Enzo, A sentence that sounded oddly supportive and judgemental.
38764,Caroline, I support her. She did what she needed to do to stop chomping on innocent people on the road. It doesn't mean that i'm enjoying marinating all alone in my misery.
38765,Enzo, Well i'll marinate with you.
38766,Caroline, I appreciate it. Really i do.
38767,Enzo, But i'm not Stefan.
38768,Caroline," Rule no.4, Don't ever mention that jerk's name again or ( Enzo cuts in)"
38769,Enzo, Or you'll k*ll me. Got it.
38770,Caroline, Whoa..is that bl*od or pie? Please say pie.
38771,Enzo, Hmmm..(Dabs his finger with it and tasts it) That would be..Shirley..A special off the menu item. This little diner is surprisingly well stocked.
38772,Caroline," Tell me that you snatched, ate, erased."
38773,Enzo," Funny thing about that.You do the first two properly, the third isn't necessary."
38774,Caroline, You k*ll her?
38775,Enzo," Oh, don't act all shocked."
38776,Caroline," Well, I'm sorry, but death shocks me, and it also leads to a missing persons report, which leads to"
38777,Enzo, Sheriff's investigation? I'm terrified. I already have three warnings. One more is a fine.
38778,Damon," It's gotta be a short, faulty wiring, something."
38779,Bonnie, Or someone put a quarter in it and turned it on.
38780,Damon," You know i'm a little confused with all this misplaced hope. All right, Let's just say there's some one here. How do you know we're gonna get out?"
38781,Bonnie," Well, you say that this is your hell right? If there's someone else here, that means it's not your hell, and if it's not your hell that means Grams put us here, and if Grams put us here there's a way out."
38782,Damon, That's a hell of a logic knot you've tied for yourself.
38783,Bonnie," Thank you. So now that we have properly placed our hope, let's play a game. When we get out, what's the first thing you're gonna tell Elena?"
38784,Damon," (Thinks for a moment) Sorry i k*ll Bonnie. But she was the most annoying person in the world. (He starts walking towards the car park) She wouldn't shut up. She just kept talking.I mean, it's a wonder I made it as long as I did, but here's the thing, I think it's better this way because she didn't have magic, and she was pretty much useless."
38785,Bonnie, Damon.
38786,Damon, What??
38787,Bonnie," I don't know, you still think i'm useless? (She points to the parking lot and the screen pans to show Damon's car in the parking lot)"
38788,Damon, (Looks at the car and the number plate) That's my car. That's my car.
38789,Elena," She's determined but sweet, eternal optimist, never forgets a birthday. What else?"
38790,Stefan, Never gives up on her friends.
38791,Elena, Yes. True. She's completely loyal.
38792,Liam, This is good. Build her up. I'm sure she'll live up to these ridiculously high expectations.
38793,Elena, That's another one. Great at surpassing expectations.
38794,Liam, So she's perfect.
38795,Elena, Totally.
38796,Stefan, Pretty much.
38797,Liam, So how long have you two been together?
38798,Elena," Us? No. I'm... we're... heh. We're not, but, I mean, we did at one point..."
38799,Stefan, Not anymore.
38800,Liam, Was that recent? Because you two seem weirdly functional.
38801,Elena, Has it already been two years?
38802,Stefan, Time flies.
38803,Damon," ( Pretending like he's driving the car) Vrrrmm, vrrrmm!"
38804,Bonnie, How much longer are we gonna listen...
38805,Damon," Shh, shh, shh, shh. This sound is the opposite sound of your voice, and I so enjoy it."
38806,Bonnie," How did it even get here, Damon? Did you leave it here in 1994?"
38807,Damon," I don't know, Bonnie. It was 18 years ago. Had a lot going on that day."
38808,Bonnie, Ok. So you admit that it's pretty unlikely that you did.
38809,Damon, Very unlikely.
38810,Bonnie, ( Probing Damon to admit she's right) Which would stand to reason.. that...
38811,Damon," Someone may have put it here, Bonnie. Yes, i admit that."
38812,Elena, Damon
38813,Damon, I know. (Elena puts her hand over Damon's)
38814,Damon, I'm gonna tell Elena how much I love her. (Bonnie smiles) And then I'm gonna apologize for k*ll you.
38815,Bonnie, (Notices something behind) Wait. Did you just see that?
38816,Damon, I did that time. Let's go meet our little friend.
38817,Liam," So is a lake different from a swimmin' hole, or..."
38818,Elena, Swimming hole. Thanks for making me sound like a redneck. Why? Where did you party in High School?
38819,Liam," Oh. Somebody's house or second house, whichever had the biggest pool. Huh. I guess I do brag."
38820,Elena, Yup. Now it's my turn to brag because I bet nobody at your pool parties could do this.
38821,Elena," (While swimming she notices Jeremy kissing Sarah in the lake) Ahem. Um, ahem. Jeremy?"
38822,Sarah," Oh, my God."
38823,Jeremy, Elena.
38824,Elena," Sorry to interrupt what I'm sure was a heartfelt display of true love, but I'm Jeremy's sister, and we were about to have a nice little family chat."
38825,Sarah, That's why I'm an happy orphan. ( Sarah leaves from there)
38826,Elena, You invited the girl that I attacked?
38827,Jeremy, No. I brought the girl Caroline compelled to forget you attacked. She doesn't know anything.
38828,Elena," Jer, why would you even risk it?"
38829,Jeremy, Because she looks good in a bikini. Can I go now?
38830,Matt," Yeah. I may be driving, but if you puke in my truck, I'm gonna k*ll you."
38831,Jay," You know, dog bite girl's kind of hot. In, like, a trashy way, though."
38832,Matt, Why do you keep calling her that... dog bite girl?
38833,Jay, Because it's ridiculous. What kind of dog bites you in the neck.
38834,Tyler," I don't know, man I've seen some pretty vicious dogs."
38835,Matt," What's up, Ty?"
38836,Tyler, I just got a text from Elena. She wants to see us.
38837,Jay, Hold on. Are you telling me that you think a girl with two puncture wounds in her neck got bit by a dog?
38838,Tyler, I think if that's what she said then that's what happened.
38839,Jay, Then you're an idiot.
38840,Tyler, And you're a wasted douchebag. We all have faults.
38841,Jay, You want to say that a little louder?
38842,Matt," Jay, back off."
38843,Jay," No, no, no. I think you just called me a douchebag. I just want to make sure. ( Jay pushes Tyler and Matt comes in between)"
38844,Matt," Whoa, Jay! Jay, what you're doing right now, definition of a douchebag."
38845,Jay, (Calms down and smiles) Heh. Simmer. I'm just playing. You guys want beers?
38846,Matt, Yeah. (Turns around to face Tyler) Sorry.
38847,Stefan, Hey. It's Stefan. Leave a message.
38848,Caroline, Yeah. Not answering is one of his new things.
38849,Elena, He said he was here to apologize.
38850,Caroline, Lying. Also one of his new things. Stefan has a lot of new things.
38851,Elena, Hey. Have you guys seen Stefan?
38852,Matt, I didn't even know he was back.
38853,Tyler, So you want to fill us in on what we're doing here?
38854,Elena," You don't remember this place? We used to sneak off here and get wasted while our parents were outside grilling. Granted, we all have a few less parents, but we can still have fun. ( She offers them Jello shots)"
38855,Tyler," Actually, I can't. I'm working on my rage issues, and this wouldn't help."
38856,Matt," My buddy's wasted, and I've got to train in the morning, so..."
38857,Elena," Ok. Well, I don't want to sound like an alcoholic, but I do want a sh*t, so will someone do one with me?"
38858,Elena, Bottoms up.
38859,Caroline," Mmm! Well... Here we are, having fun. I'm having fun. Aren't we having fun? This is really fun."
38860,Elena," (Realising that Caroline is being sarcastic)Ok. Clearly, this was a big mistake. I just wanted to spend one afternoon where we pretend for just one second like we're not all drifting apart. ( She goes and sits besides Caroline)"
38861,Caroline," Well, that's the problem, Elena. Not all of us are ok with pretending. Some of us prefer to face our problems head -on."
38862,Tyler, I think we should go.
38863,Matt, Yeah.
38864,Elena, What's going on?
38865,Caroline," I'm just lonely, ok? And Bonnie's gone, Stefan's gone. Enzo... shocker...Terrible, m*rder friend."
38866,Elena," I'm still here, Car."
38867,Caroline, Yeah. You're still here. (She gets up to leave)
38868,Elena, Here take another sh*t and...(She realizes Caroline has already walked away)
38869,Elena, Ok. Not so much. 
38870,Bonnie, It was behind the pickup.
38871,Damon, No. It was in the front.
38872,Bonnie," Are you sure?
Damon: Yes. Absolutely I'm sure. It was right there."
38873,Damon, It was a tarp. We saw a tarp.( Suddenly the horse carousel turns on and music starts playing) And that... that is on a timer. That turned on by itself.
38874,Bonnie, But your car.
38875,Damon, I left it here in '94.
38876,Bonnie, And the crossword?
38877,Damon," You filled it out, Bonnie. Which means we're alone in my own hell with no Grams escape hatch. We're never getting out."
38878,Bonnie, (Frustrated) Give me your ring.
38879,Damon, What?
38880,Bonnie," Give me your ring. ( She takes his hand and tries to snatch it while Damon resists) All I've heard you say is that you have no hope and that this is your hell, so if it's so bad, why don't you just end it? (Damon pushes her back) Hope is the only thing keeping me going, Damon, so if you're really done, if you have none, then be done because this isn't helping. (She leaves from there)"
38881,Kai," Rough day, huh, Damon? Sorry. Manners. I'm Kai. Nice to meet you. Pork rind?"
38882,Elena, So you're sure you're ok to find your way back home? Sorry. My friend Caroline's having a bit of a crisis. It's been a rough couple of months for her. She's normally really sweet.
38883,Liam," Actually, I'm glad I didn't meet her because then it would have been awkward when I did this."
38884,Elena, Heh. Kissing a girl who's trying to set you up with her best friend? Red flag.
38885,Liam, Maybe. I have a sneaking suspicion that's your type.
38886,Enzo, That was Caroline's ice.
38887,Stefan," Yeah. Well, you'll be dead, so I think she'll let you off the hook."
38888,Enzo," I don't want to k*ll you, Stefan. (He takes out the wood stick from the ice bag and throws it at Jay who is standing behind Stefan with a g*n. It stabs him in the neck.)"
38889,Enzo, But it looks like he did.
38890,Caroline, I thought I told Enzo to go get more ice.
38891,Girl, Did you do it in that tone? Because I think I know why he didn't.
38892,Caroline, Congratulations. Now it's your job. (She compels her) Go get ice.
38893,Jeremy, Aren't we supposed to be having fun?
38894,Caroline, Is that why you brought your latest fling in a series of sad attempts to pretend like you don't care about Bonnie...To have fun?
38895,Enzo," Right. Cavalry's on their way, so why don't we put a pin in our little spat till this all gets sorted, eh?"
38896,Stefan," No, thanks."
38897,Enzo, You've got to be bloody kidding me. I just saved your life.
38898,Stefan," So you can give me a lifetime full of misery. Well, that's fine. I'm just gonna shorten the lifetime."
38899,Caroline, Stefan.
38900,Enzo," Good news, Caroline. I thwarted a vampire hunter. Bad news... Stefan has become a vampire hunter."
38901,Caroline, What are you doing?
38902,Stefan, Why don't you ask him?
38903,Caroline, What did you do?
38904,Damon, That is gonna have to stop.
38905,Kai," Oh, you think this is annoying? Hmm. Try listening to you and Bonnie bicker every 5 minutes."
38906,Damon, So you've been following us.
38907,Kai," Of course I have. You two are the closest thing I have a to a TV. I mean, you're no ""Baywatch,"" but...Remember ""Baywatch""?"
38908,Damon," No, I do not."
38909,Kai," Oh. Oh, man, you got to watch it. You like lifeguards, like... Hot ones?"
38910,Damon," This has been a monumentally bad day in a sea of bad days, so I'm gonna need to know who you are, what you're doing here, and how it relates to me, or I'm gonna rip your throat out."
38911,Kai," Temper's gonna get you in trouble, Damon. It's already driven Bonnie away how many times? Oh, oh, oh, wait. I know. 13."
38912,Damon, You think my temper's bad with her? I like her. You not so much. (Damon superspeeds and holds him up by his collar)
38913,Kai, Ok. Ok. Sorry. Seriously. I'm just kind of rusty on the face -to -face type human interactions.
38914,Damon, (Drops him down) Answers now.
38915,Kai, Maybe you should have a drink. That usually calms you down.
38916,Damon, Thanks.
38917,Kai," Then makes you angry, then sad, then calm again. It's a weird cycle, and look, if you really want to know the reason I'm following you, it's because I want to k*ll you."
38918,Kai, Vervain in your bourbon. Who didn't see that one coming?
38919,Kai," Who buys patio furniture from a grocery store? I mean, somebody must. Otherwise, it... it wouldn't be here, ( He picks up a beach umbrella and breaks it's wooden end into two) But now I'm a little unfamiliar with vampires, but from what I've gathered, a stake in the heart should do it, right?"
38920,Damon, Aah!
38921,Kai," You can always fight dirty, Damon. Like that time you and Bonnie played monopoly and you stole from the bank. Not cool."
38922,Damon, I'm gonna rip your head off.
38923,Kai," No. You're not. ( He smashes all the bottle on the shelf and the liquid from it burns Damon's skin and he falls to the floor again ) I didn't know which bottle you'd take, so I vervained them all. ( He raises his hand to stab Damon. )"
38924,Bonnie, Stay away from him.
38925,Kai," The useless one is here. Thank God. I've watched you try to do magic for months now. What are you gonna do, fail at me? It's embarrassing. I'm embarrassed for you."
38926,Kai, Uh -oh.
38927,Bonnie, Run.
38928,Bonnie, Phesmatos Incendia. ( Fire lights up in front of Kai)
38929,Kai, Ok. Ok. Ok.
38930,Bonnie, Giving up so soon? I'm embarrassed for you.
38931,Damon, Sorry I called you the most annoying person in the world. I hadn't met him yet. (Bonnie smiles)
38932,Tyler, Whoa. Was that always dented?
38933,Matt, What the hell does it matter? It's a keg.
38934,Tyler, Liv lent them to me man.
38935,Matt," Oh, is that when you lent Liv your manhood?"
38936,Tyler, Just lift the damn thing.
38937,Enzo," (Walks up with Jay's body on his shoulder and puts it into the back of the truck) Actually, don't. I'm in desperate need of an empty truck bed."
38938,Tyler, Isn't this your friend Jay?
38939,Matt, What the hell did you do?
38940,Enzo, I avoided the stake he planned to fire at Stefan and me.
38941,Matt, Stake?
38942,Enzo," Ah. You didn't realize your friend was a vampire hunter? Well, you do now."
38943,Matt," No. No, no. That's not possible."
38944,Enzo," Yes, it is, and as much as I'd like to watch you process what I'm sure is a dreadful revelation, I need to bury the body."
38945,Tyler, (throws the trucks keys to Enzo.)Get out of here.
38946,Caroline," Stop, ok? I am sorry. I did not know about Ivy, but..."
38947,Stefan," But what? What? I was fooling myself, I was using her as an escape? Yeah, I know what you think, Caroline."
38948,Caroline," Well, actually, I was gonna say, ""but k*ll Enzo won't bring her back."""
38949,Stefan," No, but it will stop him from reminding me of my brother. I k*ll him, I can leave this place, and I can start over again."
38950,Caroline," So that's why you left all those messages on my phone, promising apologies. That's why you visited Elena, that's why you came to this party, just to k*ll Enzo and start over?"
38951,Stefan, Yep.
38952,Caroline," I don't believe you. I know that a part of you misses this place and these people, your friends. I know that being back here reminds you how much we need you, how much... I need you, but if I'm wrong, then go ahead. Just go. Start over, but, God, if I'm right, if just a little part of you came back to check on Elena, who's had an unbearable 4 months, or Alaric, who just came back from the dead, or me... If even just a small, little part of you came back to check on me... Then stay."
38953,Jeremy, Hey. Weren't you getting ice?
38954,Girl, I was till I realized how mean that girl was to me.
38955,Jeremy, How?
38956,Girl," Um, I have self -respect. It may have taken me till I was halfway to the sip and serve to realize it, but I have it."
38957,Jeremy, Wait. Halfway to the sip and serve? Where is that specifically?
38958,Girl, I don't know. Right around route 13 when you get into Mystic Falls. Sorry about your warm booze.
38959,Jeremy, Have you guys seen Sarah?
38960,Elena, No. Why?
38961,Jeremy, There's no ice.
38962,Elena," I think you'll live, Jer."
38963,Jeremy, Caroline compelled that girl to go get ice. She didn't.
38964,Caroline," Well, why not? Is she on vervain?"
38965,Jeremy, No. She had to go into Mystic Falls to get it. She had to cross the border.
38966,Caroline, (Suddenly realising) Compulsion is magic.
38967,Jeremy," Which means that every memory you compelled away came back, so Sarah, the girl you attacked (looking at Elena)and you compelled (looking at Caroline)..."
38968,Elena, Knows what I am.
38969,Damon, You're awake. Good. Now for the Q&A portion of the evening.
38970,Kai," Let me guess. I answer right, I get a pork rind. Wrong, I get a poker."
38971,Damon," What? No, no, no. These are for me. You just get the poker."
38972,Kai, Yeah. You don't have to do that.
38973,Damon, No?
38974,Kai, We're on the same team.
38975,Bonnie, Really? Do you always try and k*ll your teammates?
38976,Kai," The important thing is that you have your magic back. It worked.(Damon and Bonnie look at each other) What, you... you didn't really think I'd k*ll Damon, did you? Heh heh. In what universe does that make sense? Who would k*ll 1/3 of our population? I'm not a monster. I knew Bonnie would show up. She always comes back, all 13 times, and I knew with the right motivation she'd be able to access her magic, although I -I did get a little worried with all your bickering that Damon's life wouldn't be enough motivation,( Damon and Bonnie look on unamused) but turns out it was. I guess that's just how you two show your love."
38977,Bonnie, So you did all that just to make sure I would have my magic?
38978,Kai, Of course I did. Because your magic is the key to getting the hell out of here.
38979,Tyler, Maybe this is an isolated thing. Jay could be working alone.
38980,Matt," Yeah. Maybe Jay, who I've known since I was 10, somehow became a vampire hunter on his own. I'm such an idiot. I spent all summer training with a founding family member, thinking that he was only worried about protecting old ladies from getting mugged."
38981,Liv, Because this is how I wanted to spend my saturday night. Load them up. What the hell happened to your truck anyway?
38982,Matt, It's a little complicated.
38983,Tyler," I got this, dude. I'll see you in a bit."
38984,Liv," Sad jocks are kind oflike sad clowns, you know, they're pathetic but kind of hilarious."
38985,Tyler," Not in the mood, Liv."
38986,Liv, Uh -oh. That sounded like a threat.
38987,Tyler, No. Just a request.
38988,Liv, Oops.
38989,Tyler, Is this what you want? You want to see my break?
38990,Liv, You're right. I'm sorry. It's just easier for me if you're an aggressive unlikable dick.
38991,Tyler, Why?
38992,Liv, So I don't have to worry about falling for you. ( They stare at each other for a moment. Liv pushes him away and leaves.)
38993,Jeremy (phoning Elena), I checked every room. Sarah is gone. And it looks like she trashed place.
38994,Elena," Okay, well, Caroline and I will go out and search her at the border then."
38995,Jeremy, I keep looking in town. I call you if I find anything.
38996,Caroline," So, I was just gonna leave my clothes here while we look, if that's okay."
38997,Elena," Yeah, of course."
38998,Caroline, I also was thinking that - you know - if there are vampire hunters on the loose then living alone right by there home base is probably not a good idea.
38999,Elena, Is this an official unpack? Because your moving methode is so confusing.
39000,Caroline," Yes, this is an official unpack. I'm sorry I got mad at you earlier. Sometimes iIt just seems like you have your secret way to move on. Is this ...?"
39001,Elena, ... Bonnie's? Yeah. There we go. You just discovered my secret of moving on: Sometimes I don't.
39002,Caroline," I miss Bonnie, I miss Mystic Falls, I miss my old life. And I miss ..."
39003,Elena, ... Stefan?
39004,Caroline," Yeah, I miss Stefan."
39005,Elena," Caroline, you and Stefan ... did you have feelings for him or something?"
39006,Caroline," Yeah, I think maybe I did. Well, we should go ahead and find that girl before she outs us."
39007,Tripp, Rough night?
39008,Enzo, Ahh. Nothing a piece of pie can't fix. (snapping his fingers) Service! Would be lovely though.
39009,Tripp," My fault, sorry. I sent her home for the night. Can have you k*ll any more of the wait staff. (He injects Enzo vervain.) Consider being more discreet when you feed. You never know whose eyes are watching."
39010,Enzo," This normally works, doesn't it? Knocks vampires right out. See, I'm a bit different than a normal vampire. I can fight the vervain. Not for long, but ... (he heads in Tripp's direction and grabs him). I will have to take care of you. (Two stakes gore Enzo and he lets Tripp off. It was Stefan who attaked Enzo with the stakes.)"
39011,Stefan, (Points at the w*apon in his hand) Found this on one of your guys. I think he k*ll him though.
39012,Tripp, Who are you?
39013,Stefan, Stefan Salvatore. You and I have something in common.
39014,Tripp," One of the founding families. THank you. Acutally, if you don't mind - I have my own way I liked him to die."
39015,Stefan, (hands Tripp the w*apon) Just make sure it's painfull.
39016,Caroline, k*ll Enzo won't bring her back.
39017,Jeremy, Sarah... The girl you attacked and you compelled...
39018,Damon, Where the hell are we?
39019,Bonnie, 1994.
39020,Bonnie, There's someone else here.
39021,Kai, We're on the same team.
39022,Kai," And, of course, I broke into the Oval Office, and took a picture of myself at the window looking all JFK. But then, I was, like...wha - how am I going to get these photos developed - "
39023,Damon," (interrupts) Oh my god, just answer the damn question. How are we going to get out of this Twilight Zone? (Damon is sitting across from him in a dark couch.)"
39024,Kai," I got a question for you, first. Why do you think we're stuck on a repeating loop of May 10th, 1994?"
39025,Kai," Doomed to relive a solar eclipse forever and ever, and ever."
39026,Damon, How the hell should I know? (He takes a sip of his bourbon.)
39027,Kai," Well, I heard you tell Bonnie this place was your own personal hell. I'm curious why."
39028,Bonnie," (walks into the room) I found everything you asked for: can -opener, shower drain, grinding wheel, jam. Pocket kn*fe, volume ""O"" of the Encyclopedia, a nail and a black marker."
39029,Bonnie, Now what?
39030,Kai, Can't show you with my hands taped. 
39031,Damon, (warningly) Bonnie...
39032,Kai, Thank you.
39033,Damon, Okay.
39034,Damon, Fine. How is this pile of crap going to get us out of here?
39035,Kai," (rubs his sore wrists) I'll explain... as soon as you tell me what you did on May 10th, 1994."
39036,Damon, (frustrated) What difference does it make!? 
39037,Kai, Let me put it this way - Bonnie's magic is one part of the equation. My as -yet undisclosed knowledge is the other. Which means you would be hitching a ride home for free. I just want to know if you deserve to come along.
39038,Damon, Or I could just torture you until you say something useful. 
39039,Kai," (confused, speaks slowly) If you torture me, I'll get mad and then I won't want to help you. (he looks toward Bonnie) ...What kind of person needs to have that explained to them?"
39040,Bonnie, Play nice.
39041,Damon, Stop trying to impress the new guy. 
39042,Bonnie, Why don't you just tell him your story?
39043,Damon," Maybe because I don't want to talk about the worst thing I ever did, Bonnie."
39044,Kai," Ooooh, now I'm listening. (He scoops out some jam from the jar with his hand and eats it)  "
39045,Damon, Ready for some bad news?
39046,Damon," Barely seen you in 50 years, Stefan. You could invite a brother in."
39047,Stefan, Give me one good reason why.
39048,Damon," Check your answering machine, I'm trying to turn over a new leaf."
39049,Stefan," Oh, I heard your message. I also heard you sent Lexi some flowers, 17 years after you left her to burn to death on a rooftop."
39050,Damon, Well - 
39051,Stefan," It's a little late, but I see you're trying to make amends. I just want to know why."
39052,Damon," Uh, well, I can tell you this, Stefan - I'm tired of tearing up New York City. And, maybe it's the partying, or maybe it's my conscious - "
39053,Stefan," Well, I believe that word would require one."
39054,Damon," (ignores him) - and then, I had this moment of clarity, and I said. ""Wouldn't it be great if I just woke up in my own bed and could have a fresh start?"""
39055,Zach, You must be Damon.
39056,Stefan," Damon, this is, uh, Zach Salvatore. He owns the house now, he knows the family house tree, and I told him if you got out of line, I'd take care of you myself. "
39057,Damon," Why you always expecting the worst out of me, Stefan? "
39058,Stefan," Oh, I don't. Otherwise, I wouldn't allow this."
39059,Zach," Come on in, Damon."
39060,Damon," Huh. (he takes steps into the house, smiling) Thanks. (He brushes past Stefan after tapping his shoulder)"
39061,Stefan, You ready to start over?
39062,Damon, Hell yeah.  
39063,Stefan, Hello. Any sign of our runaway girl?
39064,Elena," No, Caroline and I combed the border of Mystic Falls three times already. No sign of Sarah."
39065,Stefan," She's not on any of the roads, which means she's probably in Mystic Falls. "
39066,Elena," This is bad, Stefan. Her compulsion went away as soon as she crossed the border. She knows that Caroline and I are vampires. "
39067,Stefan," Listen, I gotta go. I'll uh, talk to you later."
39068,Elena, Where do you think you're going?
39069,Stefan," (chuckles) Uh, I'm going home. "
39070,Elena," Savannah is not your home, Stefan. It's an escape, a hiding place. This is your home."
39071,Stefan," No, it was my home. But, I can no longer enter its borders, therefore I have a new home. "
39072,Elena," (raises her eyebrows) So, you're just going to throw in the towel and go back to your fake new life?"
39073,Stefan," Look, my fake new life ended when Enzo decided to k*ll my not -so -fake girlfriend, Ivy. So, I am going to go home, pack up and start over. Again."
39074,Elena, By pretending like your life here never existed? 
39075,Stefan," You'd be surprised how easy it is to forget the past, Elena."
39076,Elena, But I'm not buying it. You lost your brother. There's no way that you're fine.
39077,Stefan," You do not have to worry about me. It's not like I haven't done this before, I have a system. "
39078,Elena," Show me. Prove to me that your system works. If I believe that you actually are happy, then I'll let you go. But if I don't buy it, which I probably won't, I will keep harrassing you until you come home. (she scrunches up her nose) And, I'm talking about like Enzo -sized harrassment."
39079,Elena, Deal?
39080,Stefan, Sure.
39081,Stefan," And what about our runaway girl, Sarah? "
39082,Elena," Well, we can't step foot into Mystic Falls. So now, it's up to Matt and Jeremy.  "
39083,Alaric, Atta boy. Get her all out.
39084,Matt, (voiceover) Is he seriously still wasted? 
39085,Alaric," Yeah, little punk showed up on my doorstep at four in the morning. Drunk. I thought you two were looking for Sarah together."
39086,Jeremy," (groans) I did my part, she is definitely not hiding in the Salvatore liquor cabinet."
39087,Alaric," Listen, what about your vampire -hating neighborhood watch guy? If Sarah goes to him for help, that's a problem."
39088,Matt, (in his car) I'm on my way to Tripp's office now. I think I can get him to trust me and tell me what he knows.
39089,Alaric, Be safe. (He hangs up.)
39090,Jo, Alaric  
39091,Alaric, Hi. (He stands up.)
39092,Jo, Who do we have here?
39093,Alaric, This is Jeremy... (He stands Jeremy up with one arm.) Jeremy Gilbert. He's a little...
39094,Jo, Underage?
39095,Alaric, Yeah...
39096,Jo," Yeah, I can see that."
39097,Alaric," I was hoping you could give him one of those, uh... rapid -rehydration hangover -cure -type things?"
39098,Jo," (gives Jeremy a look) Oh, yeah. You mean, the ones we reserve for professional athletes and starving children in third -world countries? Yeah. I think we'll start with a full workup...(She holds an empty urine cup up and hands it to Jeremy.) Physical, bl*od, toxicology..."
39099,Alaric," Yeah. Why don't you throw in an STD screening while you're at it, huh?"
39100,Jeremy, (takes the cup and rolls his eyes) Really?
39101,Alaric, Yeah!
39102,Jo, (to Jeremy) Down the hall to the right.
39103,Jo, (winces) Do I want to know? 
39104,Alaric, It's just another day in the life of an Occult Studies professor.
39105,Jo," Well, if that entails supervising drunk morons, then you and I have a lot more in common than I thought!"
39106,Tripp," I know, and I'm sorry, Karen. Jay was a good kid. (Seeing Matt in the hallway he gestures for him to come in.) I promise, you'll be the first one to know, okay. (He hangs up and sits back in the chair.)"
39107,Matt," Tripp, are you okay?"
39108,Tripp (sitting up), No. No. I just told Jay's parents that I was the one who found their son dead in the woods last night.
39109,Matt," I heard, do you know what happened?"
39110,Tripp, You tell me.
39111,Tripp, He went to the party with you.
39112,Matt," I -I don't know. He was drunk... I offered to give him a ride home, and he said he'd walk... I should have, driven him home."
39113,Tripp," Okay. I'm gonna give the sheriff my statement - (Tripp stands up, waving his arms) - and try to make sense of what happened to Jay."
39114,Matt (standing also), Wait. Maybe I should go with you. I mean I might have been the last person to see Jay alive.
39115,Tripp (staring at Matt), Ok. Done. Let's take a ride. (They walk out together.)
39116,Kai," I need to be entertained, while I work."
39117,Kai (singing)," ♪ Hell story, please ♪"
39118,Damon, Remind me not to k*ll him.
39119,Bonnie (moving her head), Maybe telling him your story will take your mind off of it.
39120,Damon, Whose side are you on? -
39121,Bonnie, The side where we get to go home to the people we love.
39122,Damon (after a prolonging moment), Fine.
